Building Code,Bldg/Room,Room Type,Capacity,Adjoining Rooms,Room Key,Outside Key
MUSS,MUSS*411,Single,1,,R7J66,
MUSS,MUSS*414,Single,1,,R7J84,
MUSS,MUSS*415,Single,1,,R7J73,
MUSS,MUSS*427,Single,1,,R7J85,
MUSS,MUSS*428,Single,1,,R7J7,
MYER,MYER*213,Single,1,,R7K78,
MYER,MYER*214,Single,1,,R7K18,
MYER,MYER*233,Single,1,,R7K9,
MYER,MYER*234,Single,1,,R7K20,
MYER,MYER*313,Single,1,,R7K15,
MYER,MYER*314,Single,1,,R7K43,
MYER,MYER*333,Single,1,,R7K44,
MYER,MYER*334,Single,1,,R7K45,
MYER,MYER*413,Single,1,,R7K95,
MYER,MYER*414,Single,1,,R7K46,
MYER,MYER*433,Single,1,,R7K11,
MYER,MYER*434,Single,1,,R7K70,
NASN,NASN*100A,Single in a Quint,1,NASN*100B NASN*100C NASN*100D,R7BH8,
NASN,NASN*100B,Single in a Quint,1,NASN*100A NASN*100C NASN*100D,R7BH2,
NASN,NASN*100C,Single in a Quint,1,NASN*100A NASN*100B NASN*100D,R7BH6,
NOUR,NOUR*012,Single,1,,R7L21,
NOUR,NOUR*014,Single,1,,R7L7,
NOUR,NOUR*015,Single,1,,R7L8,
NOUR,NOUR*016,Single,1,,R7L9,
NOUR,NOUR*017,Single,1,,R7L10,
NOUR,NOUR*103,Single,1,,R7L13,
NOUR,NOUR*105,Single,1,,R7L15,
NOUR,NOUR*107,Single,1,,R7L19,
NOUR,NOUR*108,Single,1,,R7L18,
NOUR,NOUR*109A,Single in a Double,1,NOUR*109B,R7L66,
NOUR,NOUR*109B,Single in a Double,1,SEVY*109A,R7L66,
NOUR,NOUR*110,Single,1,,R7L20,
NOUR,NOUR*207,Single,1,,R7L28,
NOUR,NOUR*214,Single,1,,R7L33,
NOUR,NOUR*215,Single,1,,R7L64,
NOUR,NOUR*307,Single,1,,R7L41,
NOUR,NOUR*314,Single,1,,R7L46,
NOUR,NOUR*315,Single,1,,R7L49,
NOUR,NOUR*414,Single,1,,R7L6,
NOUR,NOUR*415,Single,1,,R7L59,
OWNS,OWNS*100A,Single in a Quad,1,OWNS*100B OWNS*100C,R7BJ1,
OWNS,OWNS*100B,Single in a Quad,1,OWNS*100A OWNS*100C,R7BJ2,
OWNS,OWNS*200C,Single in a Quint,1,OWNS*200A OWNS*200B,R7BJ8,
OWNS,OWNS*300A,Single in a Quad,1,OWNS*300B OWNS*300C,R7BJ10,
OWNS,OWNS*300B,Single in a Quad,1,OWNS*300A OWNS*300C,R7BJ18,
PAGE,PAGE*200C,Single,1,,R7AP5,O7AP1
PAGW,PAGW*200B,Single in a Quint,1,,R7AR3,O7AR1
PARR,PARR*104,Single,1,,R7AG14,O7AG1
PARR,PARR*201,Single,1,,R7AG15,O7AG1
PARR,PARR*202,Single,1,,R7AG16,O7AG1
PARR,PARR*204,Single,1,,R7AG17,O7AG1
PREN,PREN*201,Single,1,,R7AT7,O7AT11
PREN,PREN*202,Single,1,,R7AT4,O7AT11
PREN,PREN*204,Single,1,,R7AT9,O7AT11
PREN,PREN*206,Single,1,,R7AT6,O7AT11
PRSH,PRSH*103A,Single,1,,,
PRSH,PRSH*103B,Single,1,,,
PRSH,PRSH*104A,Single,1,,,
PRSH,PRSH*104B,Single,1,,,
PRSH,PRSH*109,Single,1,,,
PRSH,PRSH*206A,Single,1,,R7AQ8,
PRSH,PRSH*212,Single,1,,R7AQ11,
PRSH,PRSH*215,Single,1,,R7AQ13,
PRSH,PRSH*303A,Single,1,PRSH 303B,R7AQ33,
PRSH,PRSH*303B,Single,1,PRSH 303A,R7AQ18,
PRSH,PRSH*314,Single,1,,R7AQ20,
RICE,RICE*201,Single in a Triple,1,RICE*202,R7AU5,O7AU1
RICE,RICE*300A,Single,1,,R7AU6,O7AU1
RICE,RICE*300B,Single,1,,R7AU10,O7AU1
RICE,RICE*300C,Single,1,,R7AU11,O7AU1
SCOT,SCOT*100A,Single in a Quad,1,SCOT*100B SCOT*100C,R7BK1,
SCOT,SCOT*100B,Single in a Quad,1,SCOT*100A SCOT*100C,R7BK2,
SCOT,SCOT*200A,Single in a Quad,1,SCOT*200B SCOT*200C,R7BK5,
SCOT,SCOT*200B,Single in a Quad,1,SCOT*200A SCOT*200C,R7BK6,
SCOT,SCOT*300A,Single in a Quint,1,SCOT*300B SCOT*300C,R7BK10,
SEVY,SEVY*203B,Single in a Quad,1,SEVY*203A SEVY*203C,R7M20,O7M49
SEVY,SEVY*203C,Single in a Quad,1,SEVY*203A SEVY*203B,R7M8,O7M49
SEVY,SEVY*207A,Single in a Double,1,SEVY*207B,R7M11,O7M21
SEVY,SEVY*207B,Single in a Double,1,SEVY*207A,R7M22,O7M21
SEVY,SEVY*212A,Single in a Double,1,SEVY*212B,R7M23,O7M64
SEVY,SEVY*212B,Single in a Double,1,SEVY*212A,R7M24,O7M64
SEVY,SEVY*213,Single,1,,R7M25,
SEVY,SEVY*303B,Single in a Quad,1,SEVY*303A SEVY*303C,R7M31,O7M29
SEVY,SEVY*303C,Single in a Quad,1,SEVY*303A SEVY*303B,R7M53,O7M29
SEVY,SEVY*307B,Single in a Triple,1,SEVY*307A,R7M38,
SEVY,SEVY*311,Single,1,,R7M42,
SEVY,SEVY*403B,Single in a Quad,1,SEVY*403A,R7M48,O7M46
STIM,STIM*201,Single,1,,R7AV3,
STIM,STIM*202,Single,1,,R7AV4,
WADE,WADE*204,Single,1,,R7AL14,
WADE,WADE*205,Single,1,,R7AL5,
WADE,WADE*305,Single,1,,R7AL11,
WADE,WADE*306,Single,1,,R7AL12,
WATS,WATS*201,Single,1,,R7N8,
WATS,WATS*202,Single,1,,R7N9,
WATS,WATS*204,Single,1,,R7N11,
WATS,WATS*205,Single,1,,R7N12,
WATS,WATS*208,Single,1,,R7N15,
WATS,WATS*209,Single,1,,R7N140,
WATS,WATS*211,Single,1,,R7N7,
WATS,WATS*212,Single,1,,R7N19,
WATS,WATS*215,Single,1,,R7N22,
WATS,WATS*216,Single,1,,R7N23,
WATS,WATS*218,Single,1,,R7N126,
WATS,WATS*219,Single,1,,R7N134,
WATS,WATS*301,Single,1,,R7N27,
WATS,WATS*302,Single,1,,R7N28,
WATS,WATS*304,Single,1,,R7N16,
WATS,WATS*305,Single,1,,R7N31,
WATS,WATS*308,Single,1,,R7N34,
WATS,WATS*309,Single,1,,R7N35,
WATS,WATS*311,Single,1,,R7N37,
WATS,WATS*312,Single,1,,R7N38,
WATS,WATS*315,Single,1,,R7N41,
WATS,WATS*316,Single,1,,R7N42,
WATS,WATS*318,Single,1,,R7N44,
WATS,WATS*319,Single,1,,R7N45,
WATS,WATS*401,Single,1,,R7N46,
WATS,WATS*402,Single,1,,R7N47,
WATS,WATS*404,Single,1,,R7N49,
WATS,WATS*405,Single,1,,R7N50,
WATS,WATS*408,Single,1,,R7N53,
WATS,WATS*409,Single,1,,R7N161,
WATS,WATS*411,Single,1,,R7N122,
WATS,WATS*412,Single,1,,R7N57,
WATS,WATS*415,Single,1,,R7N130,
WATS,WATS*416,Single,1,,R7N61,
WATS,WATS*418,Single,1,,R7N59,
WATS,WATS*419,Single,1,,R7N64,
WATS,WATS*501,Single,1,,R7N65,
WATS,WATS*502,Single,1,,R7N66,
WATS,WATS*504,Single,1,,R7N68,
WATS,WATS*505,Single,1,,R7N69,
WATS,WATS*508,Single,1,,R7N142,
WATS,WATS*509,Single,1,,R7N73,
WATS,WATS*511,Single,1,,R7N75,
WATS,WATS*512,Single,1,,R7N76,
WATS,WATS*515,Single,1,,R7N79,
WATS,WATS*516,Single,1,,R7N80,
WATS,WATS*518,Single,1,,R7N82,
WATS,WATS*519,Single,1,,R7N128,
WATS,WATS*601,Single,1,,R7N149,
WATS,WATS*602,Single,1,,R7N85,
WATS,WATS*604,Single,1,,R7N87,
WATS,WATS*605,Single,1,,R7N88,
WATS,WATS*608,Single,1,,R7N93,
WATS,WATS*609,Single,1,,R7N92,
WATS,WATS*611,Single,1,,R7N94,
WATS,WATS*612,Single,1,,R7N95,
WATS,WATS*615,Single,1,,R7N98,
WATS,WATS*616,Single,1,,R7N99,
WATS,WATS*618,Single,1,,R7N101,
WATS,WATS*619,Single,1,,R7N102,
WATS,WATS*701,Single,1,,R7N143,
WATS,WATS*702,Single,1,,R7N104,
WATS,WATS*704,Single,1,,R7N146,
WATS,WATS*705,Single,1,,R7N107,
WATS,WATS*708,Single,1,,R7N145,
WATS,WATS*709,Single,1,,R7N111,
WATS,WATS*711,Single,1,,R7N113,
WATS,WATS*712,Single,1,,R7N144,
WATS,WATS*715,Single,1,,R7N117,
WATS,WATS*716,Single,1,,R7N118,
WATS,WATS*718,Single,1,,R7N120,
WATS,WATS*719,Single,1,,R7N121,
WILM,WILM*204,Single,1,,R7AW4,O7AW10
WILM,WILM*206,Single,1,,R7AW5,O7AW10
WILM,WILM*208,Single,1,,R7AW6,O7AW10
WILS,WILS*101,Single,1,,R7AX3,O7AX9
WILS,WILS*102,Single,1,,R7AX4,O7AX9
WILS,WILS*201,Single,1,,R7AX8,O7AX9
WILS,WILS*202,Single,1,,R7AX6,O7AX9
WILS,WILS*203,Single,1,,R7AX7,O7AX9
ALLE,ALLE*107A,"Double, 2 Room",2,,R7AA5,O7AA2
ALLE,ALLE*207,Double,2,,R7AA14,O7AA2
ALLE,ALLE*208,Double,2,,R7AA4,O7AA2
BENT,BENT*102,Double,2,,R7AB3,O7AB12
BENT,BENT*201A,"Double, 2 Room",2,,R7AB6,O7AB12
BENT,BENT*202,Double,2,,R7AB11,O7AB12
BENT,BENT*204,Double,2,,R7AB5,O7AB12
BERG,BERG*103,Double,2,,R7AC5,O7AC1
BERG,BERG*201,Double,2,,R7AC7,O7AC1
BRKS,BRKS*100A,Double in Quad,2,BRKS*100B,R7BA7,
BRKS,BRKS*100B,Double in Quad,2,BRKS*100A,R7BA2,
BRKS,BRKS*200A,Double in Quad,2,BRKS*200B,R7BA3,
BRKS,BRKS*200B,Double in Quad,2,BRKS*200A,R7BA5,
BRKS,BRKS*300C,Double in Quad,2,BRKS*300A BRKS*300B,R7BA1,
BURT,BURT*104,Double,2,,R7C53,
BURT,BURT*106A,"Double, 2 Room",2,,R7C120,
BURT,BURT*107A,"Double, 2 Room",2,,R7C12,
BURT,BURT*110A,"Double, 2 Room",2,,R7C117,
BURT,BURT*115,Double,2,,R7C18,
BURT,BURT*121B,Double in Triple,2,BURT*121A,R7C64,
BURT,BURT*122A,"Double, 2 Room",2,,R7C21,
BURT,BURT*125A,"Double, 2 Room",2,,R7C24,
BURT,BURT*126A,"Double, 2 Room",2,,R7C25,
BURT,BURT*128,Double,2,,R7C66,
BURT,BURT*208B,Double in Triple,2,BURT*208A,R7C122,
BURT,BURT*209A,"Double, 2 Room",2,,R7C35,
BURT,BURT*212A,"Double, 2 Room",2,,R7C106,
BURT,BURT*213B,Double in Triple,2,BURT*213A,R7C29,
BURT,BURT*221,Double,2,,R7C113,
BURT,BURT*222,"Double, 2 Room",2,,R7C43,
BURT,BURT*225B,Double in Triple,2,BURT*225A,R7C46,
BURT,BURT*226B,Double in Triple,2,BURT*226A,R7C109,
BURT,BURT*229A,"Double, 2 Room",2,,R7C34,
BURT,BURT*308B,Double in Triple,2,BURT*308A,R7C111,
BURT,BURT*312A,"Double, 2 Room",2,,R7C8,
BURT,BURT*315,Double,2,,R7C65,
BURT,BURT*319A,"Double, 2 Room",2,,R7C67,
BURT,BURT*321,Double,2,,R7C68,
BURT,BURT*322,Double,2,,R7C16,
BURT,BURT*325B,Double in Triple,2,BURT*325A,R7C110,
BURT,BURT*326B,Double in Triple,2,BURT*326A,R7C124,
BURT,BURT*400,Double,2,,R7C81,
BURT,BURT*401,Double,2,,R7C17,
BURT,BURT*404,Double,2,,R7C119,
BURT,BURT*406,Double,2,,R7C85,
BURT,BURT*409,Double,2,,R7C88,
BURT,BURT*411,Double,2,,R7C89,
BURT,BURT*414B,Double in Triple,2,BURT*414A,R7C91,
BURT,BURT*417,Double,2,,R7C92,
BURT,BURT*419,Double,2,,R7C94,
BURT,BURT*420,Double,2,,R7C31,
BURT,BURT*422,Double,2,,R7C97,
BURT,BURT*427,Double,2,,R7C99,
CASS,CASS*107,Double,2,,,
CASS,CASS*109,Double,2,,,
CASS,CASS*111,Double,2,,,
CASS,CASS*112,Double,2,,,
CASS,CASS*113,Double,2,,,
CASS,CASS*114,Double,2,,,
CASS,CASS*126,Double,2,,,
CASS,CASS*128,Double,2,,,
CASS,CASS*202,Double,2,,,
CASS,CASS*203,Double,2,,,
CASS,CASS*204,Double,2,,,
CASS,CASS*205,Double,2,,,
CASS,CASS*207,Double,2,,,
CASS,CASS*209,Double,2,,,
CASS,CASS*211,Double,2,,,
CASS,CASS*212,Double,2,,,
CASS,CASS*213,Double,2,,,
CASS,CASS*214,Double,2,,,
CASS,CASS*219,Double,2,,,
CASS,CASS*220,Double,2,,,
CASS,CASS*221,Double,2,,,
